id,phase,category,gold_domain,type,question,source_file,gold_chunk_id,gold_answer,difficulty,notes
M02,phase1,mccb_elb,technical,B,장마철에 새벽마다 누전차단기가 왜 자꾸 떨어지나요?,knowledge_mccb_elb.md,knowledge_mccb_elb.md > 누전차단기(ELB) 오동작·트립 원인 > Q. 습한 환경의 콘센트 회로에서 한 달에 한 번 꼴로 새벽에만 누전차단기(ELB)가 트립되는 경우 원인과 조치 방법은 무엇인가요?,새벽 습도 상승으로 절연저항이 일시적으로 저하되어 누전 발생 가능성이 높다.,중,"M01과 동일 정답청크, 표현 변형"
M03,phase1,mccb_elb,technical,B,차단기 명판에 있는 AF랑 AT는 뭘 뜻하나요?,knowledge_mccb_elb.md,knowledge_mccb_elb.md > 배선용차단기 시공·표기 규격 > Q. 차단기 표기 문구 중 'AF(Ampere Frame)'와 'AT(Ampere Trip)'의 정확한 개념 차이는 무엇인가요?,"AT는 차단기의 정격전류용량(안전하게 통전 가능한 최대전류), AF는 차단기 프레임의 외형 크기를 나타내는 규격 단위다.",하,약어를 그대로 쓴 재질문
M04,phase1,mccb_elb,technical,C,"50A MCCB가 세대 20A 차단기보다 먼저 떨어지는 것도 이상한데, 여러 상가가 하나의 ELB로 묶여서 한 곳 누전에 전체가 정전되는 것도 있어요. 둘 다 원인이 뭔가요?",knowledge_mccb_elb.md,"knowledge_mccb_elb.md > 누전차단기(ELB) 오동작·트립 원인 > Q. 아파트 계량기 인입 1차단의 50A MCCB가 세대 내부의 분기 20A 차단기들보다 먼저 트립되는 역전 현상의 기술적 원인은 무엇인가요? + knowledge_mccb_elb.md > 활선 누전 진단·설비 시공 기준 > Q. 1차 분전반과 상가별 계량기 사이의 배선용차단기(MCCB)를 누전차단기(ELB)로 일괄 교체한 후, 한 상가의 누전이 옆 상가들까지 동시 정전시키는 간섭 문제를 해결하려면 어떻게 해야 하나요?",대형 단락시 두 차단기 모두 순시영역에 도달해 기계적 래치 해제속도 편차로 상위 차단기가 먼저 개방될 수 있다. 여러 상가를 하나의 분기차단기로 묶은 구조는 보호협조 실패이므로 상가별 개별 누전차단기가 필요하다.,상,두 청크 결합 (Compound)
M05,phase1,mccb_elb,technical,C,"간판에 무전기 쓰면 소용량 MCCB가 트립되는 거랑, 순간정전 때도 차단기가 떨어지는 게 같은 원인인가요?",knowledge_mccb_elb.md,knowledge_mccb_elb.md > 배선용차단기 시공·표기 규격 > Q. 공장 내부에서 작업자가 무전기를 사용할 때 설비 제어용 소용량 배선용차단기(MCCB)가 간헐적으로 트립되는 원인은 무엇인가요? + knowledge_mccb_elb.md > 누전차단기 명판 스펙 읽는 법 근처 > Q. 순간정전(정전 후 바로 복전) 시에 차단기(누전차단기)들이 트립되는 이유는 무엇인가요?,"무전기 자체가 MCCB를 직접 오동작시킨다는 보고는 없고 2차측 부하 전자회로가 전자파에 오동작해 순간 과부하를 유발한 것으로 추정. 순간정전은 전원측 서지, 전자기기 서지보호소자 동작, 개폐서지 등 다른 원인들이다.",상,"두 청크 결합, 원인이 서로 다르다는 것까지 구분해야 하는 질문 (Compound)"
MT01,phase1,motor,technical,A,"소화전 주모터(Y-△방식) 수동투입 시 회전하지 않고 웅~ 소리만 나다가 t초 후 회전하는데, 마그넷 고장인가요?",knowledge_motor.md,"knowledge_motor.md > Y-△ 기동·마그넷 진단 > Q. 소화전 주모터(Y-△방식) 수동투입 시 회전하지 않고 웅~ 소리만 나다가 t초 후 회전하는데, 마그넷 고장인가요?",그 시간이 타이머 세팅치와 일치하면 Y 마그넷 결함이나 조작배선 오결선이 원인. 그보다 훨씬 짧으면 부하측 기계적 문제를 봐야 한다.,하,원문 그대로 (Easy)
MT02,phase1,motor,technical,A,모터 결선방식(380V 전용 / 220·380V 겸용 / 220V 전용)에 따라 Y-△ 기동 가능 여부와 소손 위험이 다른 이유는 무엇인가요?,knowledge_motor.md,knowledge_motor.md > 모터 결선·회전방향 > Q. 모터 결선방식(380V 전용 / 220·380V 겸용 / 220V 전용)에 따라 Y-△ 기동 가능 여부와 소손 위험이 다른 이유는 무엇인가요?,"380V전용·220V전용 모터는 1상 정격전압 설계상 Y-△ 기동이 가능하나, 220/380V 겸용 모터(1상 220V 설계)는 Y-△ 기동 불가, 직입기동만 가능하다.",하,원문 그대로 (Easy)
MT03,phase1,motor,technical,B,Y기동 걸 때 웅 소리만 나고 안 돌아가는데 왜 그런가요?,knowledge_motor.md,"knowledge_motor.md > Y-△ 기동·마그넷 진단 > Q. 소화전 주모터(Y-△방식) 수동투입 시 회전하지 않고 웅~ 소리만 나다가 t초 후 회전하는데, 마그넷 고장인가요?","타이머 세팅치와 시간이 일치하면 Y마그넷 결함/오결선, 훨씬 짧으면 부하측 기계 문제.",중,"MT01과 동일 정답청크, 표현 변형"
MT04,phase1,motor,technical,B,380V 전용 모터랑 220V 겸용 모터를 Y-델타로 기동시켜도 되나요?,knowledge_motor.md,knowledge_motor.md > 모터 결선·회전방향 > Q. 모터 결선방식(380V 전용 / 220·380V 겸용 / 220V 전용)에 따라 Y-△ 기동 가능 여부와 소손 위험이 다른 이유는 무엇인가요?,"380V 전용은 가능, 220V/380V 겸용은 Y-△ 기동 불가(직입기동만 가능).",중,"MT02와 동일 정답청크, 표현 변형"
MT05,phase1,motor,technical,C,"회전방향이 반대로 돌고, 발전기 돌릴 때마다 벨트가 끊어지는데 상순서 문제인가요?",knowledge_motor.md,"knowledge_motor.md > 모터 결선·회전방향 > Q. 전동기 회전방향이 반대로 바뀌었는데, 원리와 해결 방법은 무엇인가요? + knowledge_motor.md > 모터 결선·회전방향 > Q. 한전 정전 시 발전기가 가동될 때마다 정화조 브로워 모터(Y-△방식)의 V벨트가 끊어지는데, 발전기와 한전의 상 차이(역회전) 때문일 수 있나요?",3상 중 2상을 바꾸면 회전방향이 반대가 된다. 발전기 상회전이 한전과 다르면 모터가 역회전을 시도하다 기계적으로 못돌며 V벨트가 끊어질 수 있어 발전기 상회전 순서 확인이 필요하다.,상,두 청크 결합 (Compound)
A01,phase1,admin,admin,A,산업용 계량기(예: 정화조)를 폐지하고 일반용으로 통합하면 요금이 더 유리한가요?,knowledge_billing_metering.md,knowledge_billing_metering.md > 요금 산정 원리 > Q. 산업용 계량기(예: 정화조)를 폐지하고 일반용으로 통합하면 요금이 더 유리한가요?,산업용 사용량이 적은 경우에만 이익. 계약전력 대비 실제 Peak가 낮으면 기본요금 측면에서 손해를 볼 수 있어 두 값을 직접 비교해야 한다.,하,원문 그대로 (Easy). 이전 도메인오분류 발견됐던 질문(회귀테스트 겸함)
A02,phase1,admin,admin,B,정화조 계량기 없애면 전기요금 아낄 수 있나요?,knowledge_billing_metering.md,knowledge_billing_metering.md > 요금 산정 원리 > Q. 산업용 계량기(예: 정화조)를 폐지하고 일반용으로 통합하면 요금이 더 유리한가요?,"산업용 사용량이 적은 경우에만 이익이며, 계약전력 대비 실제 Peak가 낮으면 오히려 기본요금이 늘 수 있다.",중,"A01과 동일 정답청크, 표현 변형"
A03,phase1,admin,admin,F,계량기 CT비가 잘못 설정되어 있었는데 요금을 더 내야 하나요?,knowledge_billing_metering.md,"knowledge_billing_metering.md > CT 배율 오류·과소청구 책임 > Q. 10년 전부터 한전이 산업용 전력량계의 CT비를 잘못 설정(실제 30배인데 60배로 기재)해 산업용 전력을 실제보다 적게 청구받았는데, 이제 와서 한전이 밀린 요금을 요구합니다. 대응 방법은 무엇인가요?",한전의 실수는 인정되지만 실제 사용한 전력에는 요금을 납부해야 한다는 판례가 있다. 분할납부 협상은 가능.,상,"'CT비'라는 기술용어 때문에 technical로 오분류될 위험 테스트 (Boundary, admin이 정답)"
A04,phase1,admin,technical,F,전력량계 CT배율은 어떻게 계산하나요?,knowledge_meter_principle.md,"knowledge_meter_principle.md > CT·PT 배율·계량기 배율 계산 > Q. 계량기 배율(승률)은 어떻게 계산하며, 특고압 MOF의 CT비는 어떤 기준으로 선정하나요?",승률 = 전압배율 x 전류배율. MOF CT비는 최대부하전류에 10% 여유를 준 값에 가까운 근사 규격을 선택한다.,상,"A03과 반대방향 - '계량기'라는 단어 때문에 admin으로 오분류될 위험 테스트 (Boundary, technical이 정답)"
A05,phase1,admin,admin,F,안전관리자가 사고 시 책임을 어디까지 지나요?,knowledge_safety_manager_liability.md,"knowledge_safety_manager_liability.md > 사고 시 책임소재 사례 > Q. 시공업체의 상결선 오류(역상)로 정화조 배수모터가 역회전해 침수 피해가 발생했는데, 안전관리자에게 모든 책임이 있나요?",준공서류·인수인계 서류에 확인서명을 안했다면 책임은 크지 않음. 다만 이상신호를 인지하고 조치 안한 부분은 일부 책임이 따를 수 있음. 시공업체 확인소홀이 1차 책임.,상,"'사고'라는 단어 때문에 knowledge_safety_incidents.md(technical, 감전사고 사례)와 혼동될 위험 테스트 (Boundary, admin이 정답)"
