id,phase,category,gold_domain,type,question,source_file,gold_chunk_id,gold_answer,difficulty,notes
P2-15,phase2,transformer,technical,A,변압기 용량은 설비용량으로부터 어떻게 산정하나요? (수용률·부등률 개념),knowledge_transformer.md,knowledge_transformer.md > Q. 변압기 용량은 설비용량으로부터 어떻게 산정하나요? (수용률·부등률 개념),"최대수요전력=설비용량x수용률로 산출, 이보다 큰 정격용량 변압기를 선정하며 부등률도 함께 적용합니다.",중,baseline
P2-16,phase2,transformer,technical,B,변압기 용량 산정할 때 수용률이 뭔가요?,knowledge_transformer.md,knowledge_transformer.md > Q. 변압기 용량은 설비용량으로부터 어떻게 산정하나요? (수용률·부등률 개념),"설비용량에 곱해 최대수요전력을 예상하는 값으로, 1보다 작습니다.",중,baseline paraphrase
P2-17,phase2,installation_standards,technical,A,220V 옥외 가로등 선로의 최소 절연저항 기준은 얼마인가요?,knowledge_installation_standards.md,knowledge_installation_standards.md > Q. 220V 옥외 가로등 선로의 최소 절연저항 기준은 얼마인가요?,대지전압 150V 초과~300V 이하는 0.2MΩ 이상 유지해야 합니다.,하,baseline
P2-18,phase2,installation_standards,technical,B,가로등 선로 절연저항 최소 기준이 뭔가요?,knowledge_installation_standards.md,knowledge_installation_standards.md > Q. 220V 옥외 가로등 선로의 최소 절연저항 기준은 얼마인가요?,0.2MΩ 이상 유지해야 합니다.,중,baseline paraphrase
P2-19,phase2,meter_principle,technical,A,"전력량계는 유효전력만 측정하도록 설계되어 있다는데, 후크온미터나 CT처럼 모든 전류(무효분·고조파 포함)가 입력되는데 어떻게 유효분만 읽어낼 수 있나요?",knowledge_meter_principle.md,"knowledge_meter_principle.md > Q. 전력량계는 유효전력만 측정하도록 설계되어 있다는데, 후크온미터나 CT처럼 모든 전류(무효분·고조파 포함)가 입력되는데 어떻게 유효분만 읽어낼 수 있나요?",전압·전류 위상을 비교하는 알고리즘이 내장되어 유효전력만 계산합니다.,중,baseline (K절 hallucination_grade 개선사례 회귀테스트 겸함)
P2-20,phase2,meter_principle,technical,B,전력량계가 유효전력만 재는 원리가 뭔가요?,knowledge_meter_principle.md,"knowledge_meter_principle.md > Q. 전력량계는 유효전력만 측정하도록 설계되어 있다는데, 후크온미터나 CT처럼 모든 전류(무효분·고조파 포함)가 입력되는데 어떻게 유효분만 읽어낼 수 있나요?",전압·전류 위상 비교 알고리즘으로 유효전력만 계산합니다.,중,baseline paraphrase
P2-21,phase2,current_voltage_power,technical,A,돌입전류·단락전류·지락전류는 각각 정격전류의 몇 배 정도 흐르나요?,knowledge_current_voltage_power.md,knowledge_current_voltage_power.md > Q. 돌입전류·단락전류·지락전류는 각각 정격전류의 몇 배 정도 흐르나요?,"저압 3상 최대단락전류는 전부하전류의 약 20배(%Z=5% 기준), 변압기 여자돌입전류는 약 5배입니다.",중,baseline
P2-22,phase2,current_voltage_power,technical,B,돌입전류나 단락전류는 정격전류의 몇 배까지 흐르나요?,knowledge_current_voltage_power.md,knowledge_current_voltage_power.md > Q. 돌입전류·단락전류·지락전류는 각각 정격전류의 몇 배 정도 흐르나요?,"단락전류는 약 20배, 돌입전류는 약 5배 수준입니다.",중,baseline paraphrase
P2-23,phase2,lighting,technical,A,-20~-45℃ 급냉실용 등기구·램프는 어떤 것을 선정해야 하나요?,knowledge_lighting.md,knowledge_lighting.md > Q. -20~-45℃ 급냉실용 등기구·램프는 어떤 것을 선정해야 하나요?,"수명이 길고 방전특성이 좋은 메탈할라이드 램프를 권장하며, 결로로 인한 얼음이 램프에 닿지 않도록 등 각도도 조정해야 합니다.",하,baseline
P2-24,phase2,lighting,technical,B,냉동창고에는 어떤 조명을 써야 하나요?,knowledge_lighting.md,knowledge_lighting.md > Q. -20~-45℃ 급냉실용 등기구·램프는 어떤 것을 선정해야 하나요?,메탈할라이드 램프를 권장합니다.,중,baseline paraphrase
P2-25,phase2,cable,technical,A,전선굵기는 어떤 기준으로 선정하나요?,knowledge_cable.md,knowledge_cable.md > Q. 전선굵기는 어떤 기준으로 선정하나요?,"최대사용전류를 산출한 뒤 전선종류를 선정하고 허용전류를 계산해, 전압강하·전류감소계수를 적용해 굵기를 정합니다.",하,baseline
P2-26,phase2,cable,technical,B,케이블 굵기는 어떻게 정하나요?,knowledge_cable.md,knowledge_cable.md > Q. 전선굵기는 어떤 기준으로 선정하나요?,"최대사용전류와 허용전류를 기준으로, 전압강하 등을 고려해 정합니다.",중,baseline paraphrase
P2-27,phase2,capacitor,technical,A,"역률계가 이상 반응(진상 -80%로 고정)을 보이고 콘덴서를 투입해도 값이 그대로일 때, 원인을 어떻게 좁혀가나요?",knowledge_capacitor.md,"knowledge_capacitor.md > Q. 역률계가 이상 반응(진상 -80%로 고정)을 보이고 콘덴서를 투입해도 값이 그대로일 때, 원인을 어떻게 좁혀가나요?","결상, 계기불량, 고조파 여부를 주 배전반에서도 측정해 원인을 좁혀야 합니다.",상,baseline
P2-28,phase2,capacitor,technical,B,역률계가 이상하게 고정되어 안 움직이는데 원인이 뭔가요?,knowledge_capacitor.md,"knowledge_capacitor.md > Q. 역률계가 이상 반응(진상 -80%로 고정)을 보이고 콘덴서를 투입해도 값이 그대로일 때, 원인을 어떻게 좁혀가나요?","결상, 계기불량, 고조파 여부를 확인해야 합니다.",중,baseline paraphrase
P2-29,phase2,fuse,technical,A,옥외용 파워퓨즈를 옥내(변압기가 설치된 실내)에 설치해서 사용해도 되나요?,knowledge_fuse.md,knowledge_fuse.md > Q. 옥외용 파워퓨즈를 옥내(변압기가 설치된 실내)에 설치해서 사용해도 되나요?,됩니다. 옥외용은 옥내에서 사용해도 무방하나 옥내용을 옥외에서 쓸 수는 없습니다. 소음기는 선택사양입니다.,하,baseline
P2-30,phase2,fuse,technical,B,파워퓨즈 옥외용을 옥내에서 써도 되나요?,knowledge_fuse.md,knowledge_fuse.md > Q. 옥외용 파워퓨즈를 옥내(변압기가 설치된 실내)에 설치해서 사용해도 되나요?,됩니다. 반대(옥내용을 옥외에)는 불가합니다.,중,baseline paraphrase
P2-31,phase2,electric_safety_manager,admin,B,안전관리자 선임신고 어떻게 하나요?,knowledge_electric_safety_manager.md,knowledge_electric_safety_manager.md > Q. 선·해임 신고는 어떤 방법으로 할 수 있나요?,관할 시·도회에 방문·우편·팩스·온라인신고 중 원하는 방법으로 가능합니다.,하,baseline paraphrase
P2-32,phase2,electric_safety_manager,admin,F,"발전설비가 300kW인데 상주로 선임해야 하나요, 대행으로 해도 되나요?",knowledge_electric_safety_manager.md,"knowledge_electric_safety_manager.md > Q. 몇 kW부터 선임해야 하며, 용량별 선임형태(대행·상주)는 어떻게 되나요?","안전공사·대행사업자의 대행 규모는 발전설비 300kW 미만까지이므로, 300kW는 대행범위를 초과해 상주 선임을 검토해야 합니다.",상,경계형(admin이 정답) - kW 숫자 때문에 technical처럼 들릴 위험
P2-33,phase2,tech_support,admin,B,작년 기술질의 답변 모아놓은 자료집 어디서 받을 수 있나요?,knowledge_tech_support.md,knowledge_tech_support.md > Q. 기존에 발간된 기술질의 회신사례집을 받아보고 싶은데 어떻게 하나요?,전기기술지원센터 > 전기기술자료실 > 기술질의회신사례집에서 다운로드할 수 있습니다.,하,baseline paraphrase
P2-34,phase2,tech_support,technical,F,"기술지원 좀 받고 싶은데요, 콘덴서가 배가 부풀었는데 교체해야 하나요?",knowledge_capacitor.md,"knowledge_capacitor.md > Q. 콘덴서 외관이 불룩해졌는데(배부름), 정상 작동 중인 다른 콘덴서까지 함께 교체해야 하나요?",문제 있는 콘덴서만 교체하면 됩니다. 배부름은 신속히 교체가 필요한 신호입니다.,상,경계형(technical이 정답) - '기술지원'이라는 단어가 admin파일명과 겹쳐 admin으로 오분류될 위험
P2-35,phase2,design_supervision_biz,admin,B,전기설계업이나 감리업 새로 등록하려면 어디에 뭘 내야 하나요?,knowledge_design_supervision_biz.md,knowledge_design_supervision_biz.md > Q. 설계업·감리업 등록은 어디서 하며 제출서류는 무엇인가요?,협회에서 보유확인서·자본금확인서를 발급받은 뒤 시·도지사에게 등록신청서 등을 제출합니다.,중,baseline paraphrase
P2-36,phase2,design_supervision_biz,admin,F,종합감리업 하려면 감리원이 몇 명 필요하고 어떤 장비를 갖춰야 하나요?,knowledge_design_supervision_biz.md,knowledge_design_supervision_biz.md > Q. 감리업의 종류별 등록기준과 영업범위는 어떻게 되나요?,특급 2명·고급 2명·중급 2명 이상을 포함한 8명 이상의 감리원과 절연저항측정기 등 지정 장비가 필요합니다.,상,경계형(admin이 정답) - 인력·장비 숫자 때문에 technical처럼 들릴 위험
P2-37,phase2,assignment,admin,A,공사감리 발주대상과 발주제외대상은 어떻게 되나요?,knowledge_assignment.md,knowledge_assignment.md > Q. 공사감리 발주대상과 발주제외대상은 어떻게 되나요?,"감리대상은 모든 전력시설물의 설치·보수공사입니다. 감리제외대상은 일반용전기설비공사, 임시전력공사, 군사시설 내 공사, 비상전원 공사 등입니다.",중,baseline
P2-38,phase2,assignment,admin,B,감리 대상이 아닌 공사는 어떤 게 있나요?,knowledge_assignment.md,knowledge_assignment.md > Q. 공사감리 발주대상과 발주제외대상은 어떻게 되나요?,"일반용전기설비공사, 임시전력공사, 군사시설 내 공사, 비상전원 공사 등이 감리제외대상입니다.",중,baseline paraphrase
P2-39,phase2,career_application,admin,A,최초 경력신고를 하려면 제출서류와 절차는 어떻게 되나요?,Knowledge_career_application.md,Knowledge_career_application.md > Q. 최초 경력신고를 하려면 제출서류와 절차는 어떻게 되나요?,최초 경력신고와 수첩발급(경력수첩·감리원수첩·설계사면허증)을 함께 신청할 수 있습니다. 자격인정신청서 우측 수첩발급 신청란에 표기하면 별도 신청서 제출이 생략됩니다.,중,baseline
P2-40,phase2,career_application,admin,B,경력신고 처음 할 때 뭘 내야 하나요?,Knowledge_career_application.md,Knowledge_career_application.md > Q. 최초 경력신고를 하려면 제출서류와 절차는 어떻게 되나요?,"자격인정신청서를 제출하며, 수첩발급도 함께 신청할 수 있습니다.",중,baseline paraphrase
P2-41,phase2,consortium,admin,A,컨소시엄 훈련의 대상은 누구인가요?,knowledge_consortium.md,knowledge_consortium.md > Q. 컨소시엄 훈련의 대상은 누구인가요?,고용보험을 납부하고 있는 협약기업의 재직근로자만 참여할 수 있습니다. 공무원·교직원·군인 등은 참여할 수 없습니다.,하,baseline
P2-42,phase2,consortium,admin,B,컨소시엄 교육 누가 들을 수 있나요?,knowledge_consortium.md,knowledge_consortium.md > Q. 컨소시엄 훈련의 대상은 누구인가요?,고용보험 납부 중인 협약기업 재직근로자만 가능합니다.,중,baseline paraphrase
P2-43,phase2,design_supervision_performance,admin,A,설계·감리 용역 수행실적 신고 시 제출서류는 무엇인가요?,knowledge_design_supervision_performance.md,knowledge_design_supervision_performance.md > Q. 설계·감리 용역 수행실적 신고 시 제출서류는 무엇인가요?,"설계용역은 현황신고서, 수행사실확인서 원본, 용역계약서 사본, 세금계산서 사본 등을 제출합니다. 감리용역은 건축물 연면적·높이 확인서류가 추가될 수 있습니다.",중,baseline
P2-44,phase2,design_supervision_performance,admin,B,감리실적 신고할 때 뭘 내야 하나요?,knowledge_design_supervision_performance.md,knowledge_design_supervision_performance.md > Q. 설계·감리 용역 수행실적 신고 시 제출서류는 무엇인가요?,"현황신고서, 수행사실확인서, 용역계약서 사본, 세금계산서 사본 등이 필요합니다.",중,baseline paraphrase
P2-45,phase2,education,admin,A,교육 신청(일정·비용 등 확인)은 어떻게 하나요?,knowledge_education.md,knowledge_education.md > Q. 교육 신청(일정·비용 등 확인)은 어떻게 하나요?,협회 홈페이지 로그인 > 교육원(교육신청) > 교육신청 > 과정·지역·일정 선택 > 결제 순으로 진행합니다.,하,baseline
P2-46,phase2,education,admin,B,안전관리 교육 어떻게 신청하나요?,knowledge_education.md,knowledge_education.md > Q. 교육 신청(일정·비용 등 확인)은 어떻게 하나요?,협회 홈페이지에서 교육원 접속 후 과정·일정을 선택해 결제하면 됩니다.,중,baseline paraphrase
P2-47,phase2,etc,admin,A,상조서비스를 신청하려면 어떻게 하나요?,knowledge_etc.md,knowledge_etc.md > Q. 상조서비스를 신청하려면 어떻게 하나요?,"전년도말 기준 협회비 납부이력 5년 이상 정상회원만 신청 가능합니다. 총무관리팀(02-2182-0712~4, 업무시간외 010-8670-9334)로 연락하면 됩니다.",중,baseline
P2-48,phase2,etc,admin,B,협회 상조 서비스 어떻게 신청해요?,knowledge_etc.md,knowledge_etc.md > Q. 상조서비스를 신청하려면 어떻게 하나요?,"협회비 5년 이상 납부한 정상회원만 가능하며, 총무관리팀에 연락하면 됩니다.",중,baseline paraphrase
P2-49,phase2,membership,admin,A,회원가입 절차는 어떻게 되나요?,knowledge_membership.md,knowledge_membership.md > Q. 회원가입 절차는 어떻게 되나요?,회원가입원서와 회비를 협회 중앙회 또는 시·도회에 제출·납부하면 됩니다.,하,baseline
P2-50,phase2,membership,admin,B,협회 회원 가입은 어떻게 하나요?,knowledge_membership.md,knowledge_membership.md > Q. 회원가입 절차는 어떻게 되나요?,회원가입원서 제출과 회비 납부로 가입할 수 있습니다.,중,baseline paraphrase
P2-51,phase2,website,admin,A,정보통합센터에서 확인서·문서를 신청했는데 뷰어(미리보기)만 뜨고 컴퓨터가 멈춰요.,knowledge_website.md,knowledge_website.md > Q. 정보통합센터에서 확인서·문서를 신청했는데 뷰어(미리보기)만 뜨고 컴퓨터가 멈춰요.,레포트뷰어 모듈 미갱신 문제입니다. 위변조복사방지 모듈과 레포트뷰어를 홈페이지에서 내려받아 설치하면 해결됩니다.,중,baseline
P2-52,phase2,website,admin,B,증명서 신청했는데 화면이 멈추고 안 나와요,knowledge_website.md,knowledge_website.md > Q. 정보통합센터에서 확인서·문서를 신청했는데 뷰어(미리보기)만 뜨고 컴퓨터가 멈춰요.,레포트뷰어·위변조복사방지 모듈을 새로 설치하면 해결됩니다.,중,baseline paraphrase
P2-53,phase2,mutual_aid,admin,A,업등록 시 예치 또는 출자를 반드시 해야 하나요?,knowledge_mutual_aid.md,knowledge_mutual_aid.md > Q. 업등록 시 예치 또는 출자를 반드시 해야 하나요?,"네, 의무입니다. 업등록을 하려는 자는 자본금 기준금액의 100분의 20 이상에 해당하는 금액을 의무적으로 예치 또는 출자해야 합니다.",중,baseline
P2-54,phase2,mutual_aid,admin,B,설계업이나 감리업 등록할 때 출자금 꼭 내야 하나요?,knowledge_mutual_aid.md,knowledge_mutual_aid.md > Q. 업등록 시 예치 또는 출자를 반드시 해야 하나요?,"네, 자본금 기준금액의 20% 이상을 의무적으로 예치·출자해야 합니다.",중,baseline paraphrase
